abbreviation	taxid_code	Species_name	Common_name	Order	Class	Taxonomic_Classification	Source	Phagy	Vory
DroBia	125945	Drosophila_biarmipes		Diptera	Insecta	Diptera	OrthoDB 10v1	polyphagous	Herbivore
DroBip	42026	Drosophila_bipectinata		Diptera	Insecta	Diptera	OrthoDB 10v1	polyphagous	Herbivore
DroBus	30019	Drosophila_busckii		Diptera	Insecta	Diptera	OrthoDB 10v1	polyphagous	Herbivore
DroEle	30023	Drosophila_elegans		Diptera	Insecta	Diptera	OrthoDB 10v1	polyphagous	Herbivore
DroEre	7220	Drosophila_erecta		Diptera	Insecta	Diptera	OrthoDB 10v1	polyphagous	Herbivore
DroEug	29029	Drosophila_eugracilis		Diptera	Insecta	Diptera	OrthoDB 10v1	polyphagous	Herbivore
DroFic	30025	Drosophila_ficusphila		Diptera	Insecta	Diptera	OrthoDB 10v1	polyphagous	Herbivore
DroGri	7222	Drosophila_grimshawi		Diptera	Insecta	Diptera	OrthoDB 10v1	polyphagous	Herbivore
DroHyd	7224	Drosophila_hydei		Diptera	Insecta	Diptera	OrthoDB 10v1	polyphagous	Omnivore
DroMel	7227	Drosophila_melanogaster	vinegar fly	Diptera	Insecta	Diptera	Flybase	polyphagous	Omnivore
